selectBlock,category,paths,semantic,action,image1,number,image3,image4,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2loop.thisTrial,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,RespgetTime,key_resp_2.rt,startfixtime,ActInstr_startAbstime,ActInstr_starttime,startfixAbstime,Respgettime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394740424,72.17698344,120.7432055,1394740473,,,,,,,,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
1,object,trial_images_objects\r_knife_table.png,n,n,knife_table,42,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394740473,120.7659835,4,124.7916636,1394740481,128.7849238,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
1,object,trial_images_objects\r_compass.png,n,n,compass,37,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,131.7728232,1394740487,134.7785673,4,1394740489,136.4039942,1.625110022,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
1,animal,trial_images_animals\r_stoat.png,n,n,stoat,29,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,137.7707788,1394740491,138.7827016,4,1394740493,141.0522199,2.26924758,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
1,object,trial_images_objects\r_rolling_pin.png,n,n,rolling_pin,56,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,141.769074,1394740497,144.7792727,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
1,object,trial_images_objects\r_pasta_spoon.png,n,n,pasta_spoon,50,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,147.7667966,1394740504,151.778599,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
1,object,trial_images_objects\r_pen.png,n,n,pen1,51,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,154.7642101,1394740509,156.7726376,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
1,animal,trial_images_animals\r_owl.png,n,n,owl2,25,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,159.7623632,1394740513,160.7903198,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
1,animal,trial_images_animals\r_horse.png,n,n,horse,21,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,163.7775516,1394740517,164.7886772,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
1,object,trial_images_objects\r_nail_file.png,n,n,nail_file,53,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,167.7760475,1394740523,170.7836714,None,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
