selectBlock,category,paths,semantic,action,image3,number,image4,image1,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisTrial,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,FixDur,startfixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,RespgetTime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startfixAbstime,startFixtime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394740824,6.415366431,49.03582989,1394740867,,,,,,,,,,,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
3,object,trial_images_objects\r_pincer.png,n,n,pincer,119,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,1394740867,49.06685657,1,53.08830639,1394740872,54.08302626,None,,,,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
3,object,trial_images_objects\r_rake.png,n,n,rake,112,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,1,57.0704506,1394740876,58.07831782,3,1394740877,59.00269938,0.924063715,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
3,object,trial_images_objects\r_key.png,n,n,key,108,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,2,61.06902168,1394740881,63.07628733,None,,,,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
3,animal,trial_images_animals\r_pony.png,n,n,pony,81,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,1,66.06704492,1394740885,67.07840958,None,,,,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
3,object,trial_images_objects\r_hammer.png,n,v,hammer,107,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,2,70.06559969,1394740890,72.07586867,None,,,,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
3,object,trial_images_objects\r_hairbrush.png,n,n,hairbrush,106,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,3,75.06375302,1394740896,78.07165133,None,,,,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
3,animal,trial_images_animals\r_grasshopper_common.png,n,v,grasshopper_common,70,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,3,81.06152512,1394740902,84.06868784,None,,,,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
3,animal,trial_images_animals\r_fox2.png,n,n,fox2,74,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,4,87.05929542,1394740909,91.06874519,None,,,,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
3,object,trial_images_objects\r_chopsticks.png,f,n,chopsticks,96,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,2,94.05671255,1394740914,96.06332199,3,1394740915,96.97178982,0.908206731,,,,,2014_Mar_13_2000,60.00615822,semact_fmri_builder,2,kw
