selectBlock,category,paths,semantic,action,image2,number,image3,image4,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395084790,9.707264,49.38389172,1395084829,,,,,,,,,,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
2,animal,trial_images_animals\r_cow_dairy.png,n,n,cow_dairy,9,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1395084829,49.43407633,53.44634569,1395084833,1395084834,53.94694244,None,2,56.42750005,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
2,animal,trial_images_animals\r_bat.png,n,n,bat,2,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,58.42686105,1395084838,1395084839,58.93653817,None,4,61.44221254,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
2,object,trial_images_objects\r_pitchfork.png,n,n,pitchfork,52,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,65.44093453,1395084845,1395084846,65.94996269,None,4,68.4396526,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
2,object,trial_images_objects\r_broom.png,n,n,broom,33,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,72.43838244,1395084852,1395084853,72.9443167,None,1,75.43712164,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
2,animal,trial_images_animals\r_fox_red.png,n,n,fox_red,14,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,76.43690099,1395084856,1395084857,76.94781417,None,2,79.43568245,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
2,object,trial_images_objects\r_axe.png,n,v,axe,34,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,81.43512826,1395084861,1395084862,81.94294995,None,1,84.43378143,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
2,animal,trial_images_animals\r_horse.png,n,n,horse,21,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,85.43363987,1395084865,1395084866,85.94563666,None,2,88.43240713,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
2,animal,trial_images_animals\r_deer_roe.png,n,n,deer_roe,11,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,90.43184902,1395084870,1395084871,90.9424347,None,4,93.43058671,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
2,animal,trial_images_animals\r_owl.png,n,n,owl2,25,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,97.42931233,1395084877,1395084878,97.94016181,3,4,100.4281451,1395084880,99.57838198,1.63790595,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
