selectBlock,category,paths,semantic,action,image2,number,image1,image4,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396456195,13.7645070902,60.6018996972,1396456242,,,,,,,,,,,,,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
2,animal,trial_images_animals\r_grasshopper_common.png,n,v,grasshopper_common,70,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,1396456242,60.6291198567,63.6498759866,1396456245,1396456246,64.1453402995,1396456246,64.9650157609,3,0.819111915094,1.5,66.6312741307,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
2,animal,trial_images_animals\r_vole.png,n,n,vole,79,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1306313499,1396456250,1396456250,68.6460863116,,,None,,3.5,71.1293971021,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
2,animal,trial_images_animals\r_moth.png,n,n,moth,66,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,74.628337774,1396456256,1396456257,75.1404766569,,,None,,2.5,77.6270657955,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
2,object,trial_images_objects\r_tin_opener.png,n,n,tin_opener,95,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1263569104,1396456262,1396456262,80.6393971051,,,None,,0.5,83.1251190405,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
2,object,trial_images_objects\r_mop.png,n,n,mop,93,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6250884031,1396456265,1396456266,84.1344391356,,,None,,0.5,86.6238921879,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
2,animal,trial_images_animals\r_penguin.png,f,n,penguin,84,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1238718133,1396456269,1396456269,87.633298611,,,None,,1.5,90.1225998348,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
2,animal,trial_images_animals\r_koala.png,f,n,koala,88,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6222238857,1396456273,1396456274,92.1360280523,,,None,,1.5,94.6209965804,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
2,object,trial_images_objects\r_squeezer.png,n,n,squeezer,101,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1372828257,1396456278,1396456278,96.648827374,,,None,,1.5,99.1360434465,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
2,object,trial_images_objects\r_shisha.png,f,n,shisha,120,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.635681986,1396456282,1396456283,101.146300471,,,None,,0.5,103.634486978,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
