selectBlock,category,paths,semantic,action,image3,number,image4,image1,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,ActInstr_startAbstime,ActInstr_starttime,RespgetAbsTime,Respgettime,key_resp_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399374922,16.98134919,145.0400916,1399375050,,,,,,,,,,,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
3,animal,trial_images_animals\r_rabbit.png,n,v,rabbit,18,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,1399375050,145.1086805,1399375053,148.1244074,1399375054,148.6487644,None,0.5,1399375056,151.1059781,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
3,animal,trial_images_animals\r_squirrel_red.png,n,v,squirrel_red,22,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,1399375057,151.6058536,1399375057,152.1182874,None,0.5,1399375060,154.6046565,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
3,object,trial_images_objects\r_staple_remover.png,n,n,staple_remover,54,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,1399375060,155.1045908,1399375061,155.6236843,None,2.5,1399375063,158.1033671,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
3,animal,trial_images_animals\r_frog.png,n,v,frog,15,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,1399375066,160.6027068,1399375066,161.1258408,None,3.5,1399375069,163.6014149,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
3,animal,trial_images_animals\r_goat.png,n,n,goat1,16,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,1399375072,167.1003719,1399375073,167.6127831,None,0.5,1399375075,170.0991389,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
3,animal,trial_images_animals\r_badger.png,n,n,badger1,1,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,1399375076,170.5991206,1399375076,171.1154208,None,2.5,1399375079,173.5978685,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
3,object,trial_images_objects\r_kettle.png,n,n,kettle,49,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,1399375081,176.0972152,1399375082,176.6268374,None,3.5,1399375084,179.1125949,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
3,animal,trial_images_animals\r_owl.png,n,n,owl2,25,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,1399375088,182.6115334,1399375088,183.1547191,None,3.5,1399375091,185.610288,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
3,object,trial_images_objects\r_eyelash_curlers.png,n,n,eyelash_curlers,43,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,1399375094,189.1092661,1399375095,189.632488,None,2.5,1399375097,192.1079727,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
