selectBlock,category,paths,semantic,action,image3,number,image4,image1,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399375387,25.5997940198,61.7399840444,1399375423,,,,,,,,,,,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
3,object,trial_images_objects\r_hammer.png,n,v,hammer,107,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,1399375423,61.771030194,1399375426,64.7819558404,1399375427,65.2923410301,None,2.5,1399375429,67.7632268508,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
3,object,trial_images_objects\r_screwdriver.png,n,n,screwdriver,115,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,1399375432,70.2623293094,1399375432,70.7720465122,None,2.5,1399375435,73.2610857006,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
3,object,trial_images_objects\r_tin_opener.png,n,n,tin_opener,95,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,1399375437,75.7603571934,1399375438,76.2896189758,None,0.5,1399375440,78.7591172068,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
3,animal,trial_images_animals\r_moth.png,n,n,moth,66,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,1399375441,79.2757551528,1399375441,79.7876879109,None,0.5,1399375444,82.2745362954,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
3,object,trial_images_objects\r_handbell.png,n,v,handbell,91,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,1399375444,82.7745298057,1399375445,83.2875821136,3,1.5,1399375447,85.7734362148,1399375447,84.9900849367,1.70224564956,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
3,animal,trial_images_animals\r_grasshopper_common.png,n,v,grasshopper_common,70,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,1399375449,87.2729488832,1399375449,87.7828067465,None,0.5,1399375452,90.2717248944,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
3,animal,trial_images_animals\r_koala.png,f,n,koala,88,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,1399375452,90.7716797683,1399375453,91.2861567931,3,2.5,1399375455,93.7705466355,1399375454,92.7373606939,1.45095065137,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
3,object,trial_images_objects\r_crosscut_saw.png,n,n,crosscut_saw,100,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,1399375458,96.2697538349,1399375458,96.7781652484,None,1.5,1399375461,99.2685159612,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
3,object,trial_images_objects\r_scoop.png,n,n,scoop,110,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,1399375462,100.768146652,1399375463,101.277318417,None,1.5,1399375465,103.766937152,,,,,,2014_May_06_1223,60.0281030191,semact_fmri_builder,002,bd,
