selectBlock,category,paths,semantic,action,image1,number,image4,image3,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406741154,34.1877981816,70.2205872144,1406741190,,,,,,,,,,,,,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,object,trial_images_objects\r_african_sickle.png,f,n,african_sickle,94,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406741190,70.2430227848,73.2596512283,1406741193,1406741193,73.7529322384,1406741195,74.9247219588,3,1.17099708482,1.5,76.241130541,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,object,trial_images_objects\r_squeezer.png,n,n,squeezer,101,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.740489128,1406741197,1406741198,78.2535437691,,,None,,0.5,80.7558682498,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,animal,trial_images_animals\r_dog_terrier.png,n,n,dog_terrier,68,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2558567799,1406741201,1406741202,81.767754161,,,None,,2.5,84.2545522213,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,object,trial_images_objects\r_tin_opener.png,n,n,tin_opener,95,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7538356498,1406741206,1406741207,87.2655051407,,,None,,0.5,89.7525063402,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,animal,trial_images_animals\r_fox2.png,n,n,fox2,74,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2524770616,1406741210,1406741211,90.7784076537,,,None,,3.5,93.251212346,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,object,trial_images_objects\r_potatomasher.png,n,v,potatomasher,118,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7501036825,1406741216,1406741217,97.2581124408,,,None,,1.5,99.7487933889,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,animal,trial_images_animals\r_crow.png,n,n,crow,64,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.248433292,1406741221,1406741222,101.759162245,,,None,,3.5,104.247122999,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,object,trial_images_objects\r_frypan.png,n,n,frypan,104,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.746021579,1406741227,1406741228,108.255560975,,,None,,0.5,110.744682611,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,animal,trial_images_animals\r_grasshopper_common.png,n,v,grasshopper_common,70,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.244666915,1406741231,1406741231,111.75452083,1406741232,112.72727602,3,0.972492286443,0.5,114.243467095,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,object,trial_images_objects\r_chopsticks.png,f,n,chopsticks,96,,,,,,,,0,0,0,0,0,0,0,0,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.743385296,1406741234,1406741235,115.250911108,1406741236,116.042699392,3,0.791513607917,0.5,117.742186986,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,animal,trial_images_animals\r_hare.png,n,v,hare,78,,,,,,,,0,0,0,0,0,0,0,0,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.242060514,1406741238,1406741238,118.753958499,,,None,,1.5,121.240792479,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,animal,trial_images_animals\r_sheep_blackfaced.png,n,n,sheep_blackfaced,87,,,,,,,,0,0,0,0,0,0,0,0,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.740394652,1406741242,1406741243,123.253365985,,,None,,0.5,125.755807882,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,animal,trial_images_animals\r_goose_canada.png,n,n,goose_canada,77,,,,,,,,0,0,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.25575355,1406741246,1406741247,126.765808189,1406741249,128.887925679,3,2.12165023945,0.5,129.254512378,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,object,trial_images_objects\r_pincer.png,n,n,pincer,119,,,,,,,,0,0,0,0,0,0,0,0,0,13,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.754442653,1406741249,1406741250,130.263779513,,,None,,1.5,132.753153186,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
1,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,animal,trial_images_animals\r_owl_whitebarn.png,n,n,,85,owl_whitebarn,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,140.284826613,1406741260,1406741261,140.777481906,,,None,,3.5,143.266114257,1406741257,137.283971195,1406741263,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,animal,trial_images_animals\r_toad.png,n,v,,75,toad,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,146.781528694,1406741267,1406741267,147.293881554,1406741269,149.38031173,3,2.08609603749,0.5,149.780344872,,,1406741270,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,animal,trial_images_animals\r_polecat.png,n,n,,89,polecat,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,150.280198781,1406741270,1406741271,150.790622572,,,None,,0.5,153.278911729,,,1406741273,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,animal,trial_images_animals\r_jerboas.png,f,v,,82,jerboas,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,153.778934669,1406741274,1406741274,154.29777893,1406741275,155.527989754,3,1.22992830059,3.5,156.777704363,,,1406741277,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,object,trial_images_objects\r_teapot.png,n,n,,109,teapot,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,160.276509373,1406741280,1406741281,160.788680524,,,None,,2.5,163.275211153,,,1406741283,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,object,trial_images_objects\r_rake.png,n,n,,112,rake,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,12,,,,,,,,,,,,,,,165.774444778,1406741286,1406741286,166.281945537,,,None,,2.5,168.773158028,,,1406741289,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,animal,trial_images_animals\r_robin.png,n,n,,62,robin,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,171.272386219,1406741291,1406741292,171.784267905,,,None,,2.5,174.271086792,,,1406741294,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,object,trial_images_objects\r_garden clippers.png,n,n,,105,garden_clippers,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,176.770353016,1406741297,1406741297,177.277986887,,,None,,0.5,179.769048457,,,1406741300,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,animal,trial_images_animals\r_beaver.png,n,n,,63,beaver,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,180.26903578,1406741300,1406741301,180.7808248,,,None,,1.5,183.267751746,,,1406741303,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,animal,trial_images_animals\r_moth.png,n,n,,66,moth,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,184.767360258,1406741305,1406741305,185.27871523,1406741307,186.849630757,3,1.57063994605,3.5,187.766129952,,,1406741308,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,animal,trial_images_animals\r_goat2.png,n,n,,76,goat2,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,191.281692896,1406741311,1406741312,191.791901172,1406741313,193.064010301,3,1.27185346927,0.5,194.280421238,,,1406741314,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,object,trial_images_objects\r_cakeslicer.png,n,n,,92,cakeslicer,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,194.780305934,1406741315,1406741315,195.289567938,,,None,,1.5,197.779037597,,,1406741318,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,object,trial_images_objects\r_cutteknife.png,n,n,,102,cutterknife,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,1,,,,,,,,,,,,,,,199.278637355,1406741319,1406741320,199.788599329,,,None,,0.5,202.277350001,,,1406741322,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,animal,trial_images_animals\r_hedgehog.png,n,n,,80,hedgehog,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,202.777324345,1406741323,1406741323,203.288619854,,,None,,1.5,205.77606144,,,1406741326,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,animal,trial_images_animals\r_giraffe.png,f,n,,67,,giraffe,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,10,,,,,,,,,1406741330,210.287194257,213.308365112,1406741333,1406741334,213.864381144,1406741334,214.739296553,3,0.874584892596,3.5,216.289101895,,,1406741336,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,object,trial_images_objects\r_tweezers.png,n,n,,103,,tweezers,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,4,,,,,,,,,,,219.787711915,1406741340,1406741340,220.298310171,,,None,,1.5,222.786384719,,,1406741343,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
3,object,trial_images_objects\r_computer_mouse.png,n,n,,99,,computer_mouse,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,5,,,,,,,,,,,224.28607684,1406741344,1406741345,224.795623179,,,None,,0.5,227.284720365,,,1406741347,2014_Jul_30_1825,60.0180797102,semact_fmri_builder,002,bw012,
