selectBlock,category,paths,semantic,action,number,image4,image2,image1,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407428082,24.73064442,49.65057468,1407428107,,,,,,,,,,,,,,,,2014_Aug_07_1714,60.02476696,semact_fmri_builder,1,md014
4,object,trial_images_objects\r_rolling_pin.png,n,n,56,rolling_pin,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,1407428107,49.71584591,1407428110,52.72912648,1407428110,53.22690057,None,2.5,1407428113,55.71104911,,,,,,2014_Aug_07_1714,60.02476696,semact_fmri_builder,1,md014
4,object,trial_images_objects\r_pruning_shear.png,n,n,45,pruning_shear,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,1407428115,58.2100864,1407428116,58.71831072,None,1.5,1407428118,61.20874442,,,,,,2014_Aug_07_1714,60.02476696,semact_fmri_builder,1,md014
4,animal,trial_images_animals\r_ostrich.png,f,n,24,ostrich,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,1407428120,62.70833317,1407428120,63.21853635,None,1.5,1407428123,65.70707752,,,,,,2014_Aug_07_1714,60.02476696,semact_fmri_builder,1,md014
4,object,trial_images_objects\r_pasta_spoon.png,n,n,50,pasta_spoon,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,10,,,,,,,,,,,,,,,,,,,1407428124,67.20659443,1407428125,67.71607169,None,2.5,1407428127,70.20532158,,,,,,2014_Aug_07_1714,60.02476696,semact_fmri_builder,1,md014
4,animal,trial_images_animals\r_bug_common.png,n,n,3,bug_common,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,1407428130,72.70455084,1407428130,73.21804888,None,2.5,1407428133,75.70318623,,,,,,2014_Aug_07_1714,60.02476696,semact_fmri_builder,1,md014
4,animal,trial_images_animals\r_blackbird.png,n,n,4,blackbird,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,1407428135,78.21907543,1407428136,78.73341046,None,2.5,1407428138,81.21774613,,,,,,2014_Aug_07_1714,60.02476696,semact_fmri_builder,1,md014
4,object,trial_images_objects\r_broom.png,n,n,33,broom,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,5,,,,,,,,,,,,,,,,,,,1407428141,83.71698414,1407428141,84.22308927,None,0.5,1407428144,86.71560565,,,,,,2014_Aug_07_1714,60.02476696,semact_fmri_builder,1,md014
4,object,trial_images_objects\r_eyelash_curlers.png,n,n,43,eyelash_curlers,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,1407428144,87.2155569,1407428145,87.72249812,None,1.5,1407428147,90.21425206,,,,,,2014_Aug_07_1714,60.02476696,semact_fmri_builder,1,md014
4,object,trial_images_objects\r_rasp.png,n,n,47,rasp,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,1407428149,91.71385137,1407428149,92.22076693,None,1.5,1407428152,94.71257369,,,,,,2014_Aug_07_1714,60.02476696,semact_fmri_builder,1,md014
