selectBlock,category,paths,semantic,action,image1,number,image4,image3,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,ActInstr_startAbstime,ActInstr_starttime,RespgetAbsTime,Respgettime,key_resp_2.rt,startJitAbstime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407428451,10.1456971353,51.6409297572,1407428492,,,,,,,,,,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
1,animal,trial_images_animals\r_robin.png,n,n,robin,62,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407428492,51.6639210489,54.6821843523,1407428495,1407428496,55.1795865848,None,1.5,57.6636998017,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
1,object,trial_images_objects\r_potatomasher.png,n,v,potatomasher,118,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.163179886,1407428500,1407428500,59.6705638965,None,1.5,62.1618584399,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
1,object,trial_images_objects\r_frypan.png,n,n,frypan,104,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6614480913,1407428504,1407428505,64.1702302148,None,1.5,66.6601091385,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
1,object,trial_images_objects\r_pincer.png,n,n,pincer,119,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1763668803,1407428509,1407428509,68.6850976913,None,0.5,71.1750466415,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
1,object,trial_images_objects\r_rake.png,n,n,rake,112,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6750135902,1407428512,1407428513,72.1827456198,None,0.5,74.6737075378,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
1,object,trial_images_objects\r_mop.png,n,n,mop,93,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1736805233,1407428516,1407428516,75.6822051791,None,0.5,78.1723521349,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
1,object,trial_images_objects\r_teapot.png,n,n,teapot,109,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6723224039,1407428519,1407428520,79.1842360952,None,2.5,81.6710691731,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
1,object,trial_images_objects\r_nailclipper.png,n,n,nailclipper,113,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1703020522,1407428525,1407428525,84.6774614953,None,0.5,87.1689208421,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
1,object,trial_images_objects\r_scissors.png,n,n,scissors,114,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6688847725,1407428528,1407428529,88.1778404527,None,3.5,90.6675889826,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
