selectBlock,category,paths,semantic,action,image1,number,image2,image3,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411742958,132.093177,166.1045676,1411742992,,,,,,,,,,,,,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
1,object,trial_images_objects\r_maracas.png,f,v,maracas,60,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411742992,166.1428483,169.1666796,1411742995,1411742995,169.6630357,1411742997,170.8485834,3,1.184890881,0.5,172.1483305,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
1,object,trial_images_objects\r_broom.png,n,n,broom,33,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.6480633,1411742998,1411742999,173.1544475,,,None,,1.5,175.6469474,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
1,object,trial_images_objects\r_kettle.png,n,n,kettle,49,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.1465803,1411743003,1411743003,177.6567346,,,None,,2.5,180.1453627,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
1,animal,trial_images_animals\r_squirrel_red.png,n,v,squirrel_red,22,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.6446787,1411743008,1411743009,183.1562866,1411743011,185.2602837,3,2.103709439,2.5,185.6435667,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
1,object,trial_images_objects\r_spatula.png,n,n,spatula,32,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.1427927,1411743014,1411743014,188.6523575,,,None,,0.5,191.141608,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
1,object,trial_images_objects\r_pliers.png,n,n,pliers,59,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.6416001,1411743017,1411743018,192.1532485,,,None,,3.5,194.6404335,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
1,object,trial_images_objects\r_iron.png,n,n,iron,39,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.139393,1411743024,1411743024,198.6535676,,,None,,2.5,201.1547638,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
1,object,trial_images_objects\r_coping_saw.png,n,n,coping_saw,40,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.6541483,1411743029,1411743030,204.1632053,,,None,,1.5,206.6529479,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
1,object,trial_images_objects\r_pitchfork.png,n,n,pitchfork,52,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.1525832,1411743034,1411743034,208.6624981,,,None,,0.5,211.1514214,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
