selectBlock,category,paths,semantic,action,image1,number,image4,image2,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412962756,29.8519778684,65.3008611764,1412962791,,,,,,,,,,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,object,trial_images_objects\r_stapler.png,n,n,stapler,97,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412962791,65.3248702802,68.3486173787,1412962794,1412962795,68.8351286331,None,2.5,71.321651056,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,object,trial_images_objects\r_rake.png,n,n,rake,112,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8374788328,1412962800,1412962800,74.3455762457,None,2.5,76.8362593611,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,animal,trial_images_animals\r_owl_whitebarn.png,n,n,owl_whitebarn,85,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3355729555,1412962805,1412962806,79.8454739187,None,1.5,82.3343628411,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,animal,trial_images_animals\r_penguin.png,f,n,penguin,84,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.834008168,1412962810,1412962810,84.3424783649,3,1.5,86.8329314711,1412962812,85.7499014462,1.40711821329,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,animal,trial_images_animals\r_pony.png,n,n,pony,81,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3324421732,1412962814,1412962815,88.8459167318,None,0.5,91.3312767325,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,object,trial_images_objects\r_nailclipper.png,n,n,nailclipper,113,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8312414162,1412962818,1412962818,92.3385977887,None,0.5,94.8300403573,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,animal,trial_images_animals\r_jerboas.png,f,v,jerboas,82,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3300258685,1412962821,1412962822,95.8416135663,None,0.5,98.3288396002,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,object,trial_images_objects\r_tweezers.png,n,n,tweezers,103,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8288148486,1412962825,1412962825,99.3380073712,None,0.5,101.827622241,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,object,trial_images_objects\r_chopsticks.png,f,n,chopsticks,96,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.327609262,1412962828,1412962829,102.835298574,3,0.5,105.326494532,1412962830,103.976839093,1.14127519311,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,animal,trial_images_animals\r_wallaby.png,f,v,wallaby,83,,,,,,,,0,0,0,0,0,0,0,0,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.826413335,1412962832,1412962832,106.336487559,3,0.5,108.825283814,1412962833,107.542297255,1.20554225741,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,object,trial_images_objects\r_tin_opener.png,n,n,tin_opener,95,,,,,,,,0,0,0,0,0,0,0,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.3251999,1412962835,1412962836,109.836275661,None,2.5,112.323993709,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,animal,trial_images_animals\r_toad.png,n,v,toad,75,,,,,,,,0,0,0,0,0,0,0,0,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.823311228,1412962841,1412962841,115.335672566,None,0.5,117.822091152,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,object,trial_images_objects\r_scoop.png,n,n,scoop,110,,,,,,,,0,0,0,0,0,0,0,0,0,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.322079682,1412962844,1412962845,118.831965855,None,0.5,121.320885868,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,animal,trial_images_animals\r_moth.png,n,n,moth,66,,,,,,,,0,0,0,0,0,0,0,0,0,13,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.837542523,1412962848,1412962848,122.348130194,None,1.5,124.836332107,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Oct_10_1839,60.019095033,semact_fmri_builder,002,zc_020,
