selectBlock,category,paths,semantic,action,image2,number,image4,image3,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1loop.thisTrial,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,Respgettime,key_resp_2.rt,startfixAbstime,startfixtime,RespgetTime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393508226,5.398992985,57.9688019,1393508279,,,,,,,,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_swan2.png,n,n,swan2,90,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,1393508279,57.99692812,2,63.01947806,1393508286,65.01539712,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_pony.png,n,n,pony,81,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,67.99804012,1393508292,71.0093083,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_crow.png,n,n,crow,64,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,73.99577266,1393508299,78.00555123,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
2,object,trial_images_objects\r_hairbrush.png,n,n,hairbrush,106,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,80.99323112,1393508306,85.00172535,3,1393508308,87.15737145,2.155290831,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
2,object,trial_images_objects\r_nailclipper.png,n,n,nailclipper,113,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,87.99083357,1393508311,90.00326264,3,1393508313,91.82231438,1.818741439,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_ladybird.png,n,n,ladybird,72,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,93.00569219,1393508315,94.01684265,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
2,object,trial_images_objects\r_pencil.png,n,n,pencil,111,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,97.0041386,1393508320,99.01491024,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
2,object,trial_images_objects\r_chopsticks.png,f,n,chopsticks,96,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,102.0023604,1393508326,105.0140877,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_hedgehog.png,n,n,hedgehog,80,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,108.0001778,1393508330,109.0151611,None,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
