selectBlock,category,paths,semantic,action,image1,number,image3,image2,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,RespgetTime,key_resp_2.rt,startfixtime,ActInstr_startAbstime,ActInstr_starttime,Respgettime,startfixAbstime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393511235,5.415259415,224.8217819,1393511454,,,,,,,,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
1,object,trial_images_objects\r_lipstick.png,n,n,lipstick,48,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393511454,224.8452609,2,228.8723413,1393511460,230.8661097,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
1,object,trial_images_objects\r_corkscrew.png,n,n,corkscrew,41,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,233.8538976,1393511467,237.8630598,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
1,object,trial_images_objects\r_knife_table.png,n,n,knife_table,42,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,240.8512571,1393511472,242.8604872,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
1,object,trial_images_objects\r_compass.png,n,n,compass,37,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,245.8494653,1393511476,246.8565717,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
1,animal,trial_images_animals\r_kangaroo_red.png,f,v,kangaroo_red,23,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,249.8480612,1393511482,252.8633055,3,1393511483,253.5629742,0.699346022,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
1,object,trial_images_objects\r_staple_remover.png,n,n,staple_remover,54,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,255.845992,1393511488,258.8553118,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
1,object,trial_images_objects\r_iron.png,n,n,iron,39,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,261.8436953,1393511493,263.8566933,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
1,animal,trial_images_animals\r_swan_bewick.png,n,n,swan_bewick,30,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,266.841867,1393511498,268.852913,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
1,object,trial_images_objects\r_maracas.png,f,v,maracas,60,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,271.8567458,1393511502,272.8667496,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
