selectBlock,category,paths,semantic,action,number,image4,image1,image2,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395136801,5.962900146,47.65350509,1395136842,,,,,,,,,,,,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
4,object,trial_images_objects\r_axe.png,n,v,34,axe,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,1395136842,47.6902038,1395136846,51.69172388,1395136847,52.1859955,1395136848,53.23957539,3,1.052989486,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
4,animal,trial_images_animals\r_springbok.png,f,n,28,springbok,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,13,,,,,,,,,,,,,,,,,,,1395136849,54.68978725,1395136850,55.20165392,,,None,,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
4,object,trial_images_objects\r_staple_remover.png,n,n,54,staple_remover,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,1395136852,57.68843952,1395136853,58.19633786,,,None,,2,1395136855,60.68698313,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
4,object,trial_images_objects\r_spanner.png,n,n,55,spanner,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,1395136857,62.68637431,1395136858,63.19299977,,,None,,3,1395136860,65.68511321,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
4,animal,trial_images_animals\r_bat.png,n,n,2,bat,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,1395136863,68.68417357,1395136864,69.19473537,1395136865,70.61653383,3,1.42124095,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
4,animal,trial_images_animals\r_squirrel_red.png,n,v,22,squirrel_red,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,,,,,1395136866,71.68337037,1395136867,72.19454883,,,None,,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
4,animal,trial_images_animals\r_seagull_herring.png,n,n,17,seagull_herring,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,1395136869,74.68219741,1395136870,75.19401819,1395136871,76.61434546,3,1.420037803,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
4,object,trial_images_objects\r_eyelash_curlers.png,n,n,43,eyelash_curlers,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,,,1395136872,77.68116722,1395136873,78.18819714,,,None,,1,1395136875,80.67960397,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
4,animal,trial_images_animals\r_badger.png,n,n,1,badger1,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,1395136876,81.67938332,1395136877,82.19177429,,,None,,2,1395136879,84.67813701,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
