selectBlock,category,paths,semantic,action,number,image4,image3,image1,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395344474,6.780247377,36.37686953,1395344504,,,,,,,,,,,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,object,trial_images_objects\r_computer_mouse.png,n,n,99,computer_mouse,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,1395344504,36.41120309,1395344508,40.42387771,1395344508,40.91944698,None,1,1395344511,43.4052393,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,animal,trial_images_animals\r_wallaby.png,f,v,83,wallaby,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,1395344512,44.40486864,1395344512,44.91498908,3,2,1395344515,47.4037464,1395344513,45.93738964,1.022085736,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,animal,trial_images_animals\r_beaver.png,n,n,63,beaver,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,13,,,,,,,,,,,,,,,,,,,1395344517,49.40303405,1395344517,49.91580255,None,3,1395344520,52.40172496,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,object,trial_images_objects\r_pencil.png,n,n,111,pencil,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,1395344523,55.40080012,1395344523,55.9104355,None,0,,,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,animal,trial_images_animals\r_otter.png,n,n,86,otter,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,,,1395344526,58.39987317,1395344526,58.91216385,None,0,,,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,object,trial_images_objects\r_squeezer.png,n,n,101,squeezer,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,1395344529,61.39879529,1395344529,61.90965766,None,0,,,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,object,trial_images_objects\r_handbell.png,n,v,91,handbell,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,5,,,,,,,,,,,,,,,,,,,1395344532,64.39763109,1395344532,64.90803285,None,2,1395344535,67.39613486,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,animal,trial_images_animals\r_goat2.png,n,n,76,goat2,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,1395344537,69.39554567,1395344537,69.922073,None,1,1395344540,72.41091302,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,object,trial_images_objects\r_whisk.png,n,n,116,whisk,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,1395344541,73.41073251,1395344541,73.92057677,None,1,1395344544,76.40944184,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,object,trial_images_objects\r_bottle_cleaner.png,n,n,98,bottle_cleaner,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,9,9,3,,,,,,,,,,,,,,,,,,,1395344545,77.40920007,1395344545,77.91634797,None,2,1395344548,80.40796101,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,object,trial_images_objects\r_mop.png,n,n,93,mop,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,10,10,12,,,,,,,,,,,,,,,,,,,1395344550,82.40738932,1395344550,82.91559397,None,0,,,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,object,trial_images_objects\r_paint_roller.png,n,v,117,paint_roller,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,11,11,10,,,,,,,,,,,,,,,,,,,1395344553,85.4064518,1395344553,85.9170084,None,0,,,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,animal,trial_images_animals\r_grasshopper_common.png,n,v,70,grasshopper_common,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,12,12,1,,,,,,,,,,,,,,,,,,,1395344556,88.40533499,1395344556,88.91311978,3,3,1395344559,91.40390365,1395344558,90.37095555,1.457564116,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,object,trial_images_objects\r_screwdriver.png,n,n,115,screwdriver,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,13,13,7,,,,,,,,,,,,,,,,,,,1395344562,94.40289369,1395344562,94.9120413,None,2,1395344565,97.4016483,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_20_1941,60.02384287,semact_fmri_builder,2,ad
