selectBlock,category,paths,semantic,action,number,image4,image1,image2,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395344117,6.079048946,35.11561734,1395344146,,,,,,,,,,,,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,animal,trial_images_animals\r_rabbit.png,n,v,18,rabbit,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,1395344146,35.163541,1395344150,39.17558749,1395344150,39.67085009,1395344151,40.89125348,3,1.220036656,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,animal,trial_images_animals\r_blackbird.png,n,n,4,blackbird,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,1395344153,42.15818633,1395344153,42.67059684,,,None,,2,1395344156,45.15650357,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,object,trial_images_objects\r_pruning_shear.png,n,n,45,pruning_shear,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,1395344158,47.15587574,1395344158,47.66408975,,,None,,2,1395344161,50.1545917,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,object,trial_images_objects\r_broom.png,n,n,33,broom,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,12,,,,,,,,,,,,,,,,,,,1395344163,52.15397957,1395344163,52.6597879,,,None,,3,1395344166,55.15264996,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,object,trial_images_objects\r_rasp.png,n,n,47,rasp,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,10,,,,,,,,,,,,,,,,,,,1395344169,58.15176254,1395344169,58.65930043,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,animal,trial_images_animals\r_horse.png,n,n,21,horse,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,1395344172,61.15082321,1395344172,61.66439219,,,None,,2,1395344175,64.14933966,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,object,trial_images_objects\r_pen.png,n,n,51,pen1,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,1395344177,66.16544652,1395344177,66.67286911,,,None,,1,1395344180,69.16413834,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,animal,trial_images_animals\r_fox_red.png,n,n,14,fox_red,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,,,,,1395344181,70.16393158,1395344181,70.67419902,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,animal,trial_images_animals\r_bug_common.png,n,n,3,bug_common,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,1395344184,73.1630327,1395344184,73.6747212,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,object,trial_images_objects\r_colander.png,n,n,36,colander,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,,,,,1395344187,76.16190864,1395344187,76.67149482,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,animal,trial_images_animals\r_butterfly.png,n,n,6,butterfly,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,10,10,6,,,,,,,,,,,,,,,,,,,1395344190,79.16076134,1395344190,79.6730644,,,None,,2,1395344193,82.15929258,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,object,trial_images_objects\r_wok.png,f,n,44,wok,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,11,11,9,,,,,,,,,,,,,,,,,,,1395344195,84.15872723,1395344195,84.6683925,,,None,,2,1395344198,87.15741996,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,animal,trial_images_animals\r_seal_grey.png,n,n,26,seal_grey,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,12,12,13,,,,,,,,,,,,,,,,,,,1395344200,89.15684253,1395344200,89.66776104,,,None,,1,1395344203,92.15566596,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,object,trial_images_objects\r_knife_table.png,n,n,42,knife_table,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,13,13,3,,,,,,,,,,,,,,,,,,,1395344204,93.15534208,1395344204,93.66407616,,,None,,2,1395344207,96.15406318,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
1,animal,trial_images_animals\r_squirrel_red.png,n,v,22,,squirrel_red,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,1395344217,106.184158,1395344217,106.6774299,,,None,,0,,,1395344213,102.1567897,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
1,object,trial_images_objects\r_eyelash_curlers.png,n,n,43,,eyelash_curlers,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,1395344220,109.1662742,1395344220,109.673036,,,None,,2,,112.1646771,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
1,animal,trial_images_animals\r_seagull_herring.png,n,n,17,,seagull_herring,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,11,,,,,,,,,,,,,,,1395344225,114.1640765,1395344225,114.6764169,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
1,object,trial_images_objects\r_pepper_mill.png,n,n,35,,peppemill,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,9,,,,,,,,,,,,,,,1395344228,117.1631725,1395344228,117.6711272,,,None,,2,,120.16171,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
1,animal,trial_images_animals\r_ostrich.png,f,n,24,,ostrich,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,10,,,,,,,,,,,,,,,1395344233,122.1611057,1395344233,122.6717375,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
1,animal,trial_images_animals\r_springbok.png,f,n,28,,springbok,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,1395344236,125.1602494,1395344236,125.6708115,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
1,animal,trial_images_animals\r_cricket_green.png,n,v,10,,cricket_green,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,1395344239,128.1590985,1395344239,128.6713131,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
