selectBlock,category,paths,semantic,action,image1,number,image2,image4,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396542514,9.94611661739,56.5837370977,1396542560,,,,,,,,,,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
1,object,trial_images_objects\r_computer_mouse.png,n,n,computer_mouse,99,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396542560,56.6059345823,59.6327306347,1396542563,1396542564,60.1272280491,None,1.5,62.6149397462,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
1,object,trial_images_objects\r_nailclipper.png,n,n,nailclipper,113,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1142554697,1396542568,1396542568,64.6207308931,None,0.5,67.1129285708,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
1,object,trial_images_objects\r_stapler.png,n,n,stapler,97,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6129183082,1396542571,1396542572,68.1218899676,None,1.5,70.6116324599,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
1,object,trial_images_objects\r_garden clippers.png,n,n,garden_clippers,105,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1112464035,1396542576,1396542576,72.6178141907,None,3.5,75.1099774584,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
1,object,trial_images_objects\r_bottle_cleaner.png,n,n,bottle_cleaner,98,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6088772431,1396542582,1396542583,79.1154785348,None,0.5,81.607568153,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
1,object,trial_images_objects\r_tweezers.png,n,n,tweezers,103,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1076070906,1396542586,1396542586,82.6172597063,None,2.5,85.1062946802,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
1,object,trial_images_objects\r_shisha.png,f,n,shisha,120,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6055002312,1396542591,1396542592,88.1164217921,3,3.5,90.6043991104,1396542593,88.7716248897,0.654887068713,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
1,animal,trial_images_animals\r_robin.png,n,n,robin,62,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.103161255,1396542598,1396542598,94.6162268019,None,3.5,97.1185458565,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
1,object,trial_images_objects\r_potatomasher.png,n,v,potatomasher,118,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.617432964,1396542604,1396542605,101.12388092,None,2.5,103.616124779,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
