selectBlock,category,paths,semantic,action,image2,number,image3,image1,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397060545,365.0510616,409.6402838,1397060590,,,,,,,,,,,,,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
2,animal,trial_images_animals\r_bat.png,n,n,bat,2,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,1397060590,409.7189323,412.7316974,1397060593,1397060593,413.227266,1397060594,414.1966875,4,0.969017062,2.5,415.7130108,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
2,object,trial_images_objects\r_colander.png,n,n,colander,36,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,418.2120134,1397060598,1397060599,418.7218943,,,None,,0.5,421.2106687,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
2,object,trial_images_objects\r_pitchfork.png,n,n,pitchfork,52,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,421.7106338,1397060602,1397060602,422.2200764,1397060604,423.6764173,4,1.45605833,2.5,424.7261122,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
2,object,trial_images_objects\r_cleaningbrush.png,n,n,cleaningbrush,46,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,427.2252512,1397060607,1397060608,427.735302,,,None,,1.5,430.2239231,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
2,object,trial_images_objects\r_broom.png,n,n,broom,33,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,431.7235293,1397060612,1397060612,432.2313342,,,None,,0.5,434.7222133,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
2,animal,trial_images_animals\r_butterfly.png,n,n,butterfly,6,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,435.2221987,1397060615,1397060616,435.7397934,1397060617,436.4548999,4,0.71483696,2.5,438.2209992,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
2,object,trial_images_objects\r_spanner.png,n,n,spanner,55,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,440.7201315,1397060621,1397060621,441.2294818,,,None,,0.5,443.7188333,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
2,animal,trial_images_animals\r_frog.png,n,v,frog,15,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,444.2187915,1397060624,1397060625,444.7302779,1397060626,445.4181596,4,0.687618868,1.5,447.2176702,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
2,object,trial_images_objects\r_nail_file.png,n,n,nail_file,53,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,448.717105,1397060629,1397060629,449.2259394,,,None,,1.5,451.7157835,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
2,object,trial_images_objects\r_kettle.png,n,n,kettle,49,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,453.2154136,1397060633,1397060634,453.7250331,,,None,,1.5,456.2141024,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
