selectBlock,category,paths,semantic,action,image3,number,image4,image2,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,ActInstr_startAbstime,ActInstr_starttime,RespgetAbsTime,Respgettime,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397060929,11.9424355504,58.8049898325,1397060976,,,,,,,,,,,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
3,object,trial_images_objects\r_hammer.png,n,v,hammer,107,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,1397060976,58.8337005213,1397060979,61.8415975529,1397060979,62.3378141434,None,2.5,1397060982,64.8229894383,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
3,animal,trial_images_animals\r_goat2.png,n,n,goat2,76,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,1397060984,67.3387311324,1397060985,67.848723686,None,2.5,1397060987,70.3374474082,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
3,object,trial_images_objects\r_cakeslicer.png,n,n,cakeslicer,92,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,1397060990,72.8366742459,1397060990,73.3444706139,None,1.5,1397060993,75.8353826739,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
3,object,trial_images_objects\r_potatomasher.png,n,v,potatomasher,118,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,1397060994,77.3349683989,1397060995,77.8423358528,None,1.5,1397060997,80.3336735067,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
3,object,trial_images_objects\r_scoop.png,n,n,scoop,110,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,1397060999,81.8332640611,1397060999,82.3414546318,None,1.5,1397061002,84.8319552843,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
3,object,trial_images_objects\r_crosscut_saw.png,n,n,crosscut_saw,100,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,1397061003,86.3315476498,1397061004,86.8395417228,None,1.5,1397061006,89.3302437023,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
3,object,trial_images_objects\r_rake.png,n,n,rake,112,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,1397061008,90.8298553856,1397061008,91.3374048488,None,0.5,1397061011,93.828549929,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
3,object,trial_images_objects\r_stapler.png,n,n,stapler,97,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,1397061011,94.3285506836,1397061012,94.8383600205,None,1.5,1397061014,97.3272379828,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
3,animal,trial_images_animals\r_jerboas.png,f,v,jerboas,82,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,1397061016,98.8268113324,1397061016,99.338968982,None,2.5,1397061019,101.825548737,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
