selectBlock,category,paths,semantic,action,image2,number,image3,image1,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,RespgetAbsTime,Respgettime,key_resp_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397147126,90.44181577,127.8097619,1397147163,,,,,,,,,,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
2,animal,trial_images_animals\r_fox_red.png,n,n,fox_red,14,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,1397147163,127.851104,130.8700045,1397147166,1397147167,131.3667167,None,0.5,133.8512612,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
2,object,trial_images_objects\r_coping_saw.png,n,n,coping_saw,40,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,134.3510806,1397147170,1397147170,134.8594718,None,1.5,137.349757,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
2,object,trial_images_objects\r_toothbrush.png,n,n,toothbrush,38,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,138.8493687,1397147174,1397147175,139.3607162,None,1.5,141.8480823,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
2,animal,trial_images_animals\r_cow_dairy.png,n,n,cow_dairy,9,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,143.3476472,1397147179,1397147179,143.8645774,None,1.5,146.346358,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
2,animal,trial_images_animals\r_seal_grey.png,n,n,seal_grey,26,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,147.845926,1397147183,1397147184,148.3573371,None,3.5,150.8446223,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
2,object,trial_images_objects\r_pizza_slicer.png,n,n,pizza_slicer,57,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,154.3434378,1397147190,1397147190,154.8675523,None,1.5,157.358747,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
2,object,trial_images_objects\r_axe.png,n,v,axe,34,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,158.858333,1397147194,1397147195,159.3665703,None,1.5,161.8570161,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
2,object,trial_images_objects\r_kettle.png,n,n,kettle,49,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,163.356638,1397147199,1397147199,163.8666191,None,1.5,166.3553084,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
2,object,trial_images_objects\r_corkscrew.png,n,n,corkscrew,41,,,,,,,,0,0,0,1,,,,,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,167.8549642,1397147203,1397147204,168.3634867,None,1.5,170.8535751,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
