selectBlock,category,paths,semantic,action,image3,number,image2,image1,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397147500,21.1310963325,63.2608467699,1397147543,,,,,,,,,,,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
3,object,trial_images_objects\r_pencil.png,n,n,pencil,111,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,1397147543,63.2917978278,1397147546,66.3142107981,1397147546,66.807905858,None,2.5,1397147549,69.295354987,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
3,animal,trial_images_animals\r_koala.png,f,n,koala,88,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,1397147551,71.794381409,1397147552,72.3071960862,3,2.5,1397147554,74.793204845,1397147553,73.2435900957,0.936072854001,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
3,object,trial_images_objects\r_rake.png,n,n,rake,112,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,1397147557,77.2922717132,1397147557,77.801086737,None,2.5,1397147560,80.2909460414,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
3,animal,trial_images_animals\r_vole.png,n,n,vole,79,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,1397147562,82.7901544716,1397147563,83.3010292369,None,3.5,1397147565,85.7887989177,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
3,object,trial_images_objects\r_pincer.png,n,n,pincer,119,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,1397147569,89.2876840796,1397147569,89.7962681974,None,2.5,1397147572,92.2863363735,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
3,animal,trial_images_animals\r_otter.png,n,n,otter,86,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,1397147574,94.7855571791,1397147575,95.2980860159,3,1.5,1397147577,97.7843178329,1397147576,96.2680353404,0.969675255664,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
3,object,trial_images_objects\r_stapler.png,n,n,stapler,97,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,1397147579,99.2838326285,1397147579,99.7944064615,None,2.5,1397147582,102.282487941,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
3,object,trial_images_objects\r_key.png,n,n,key,108,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,1397147584,104.781723536,1397147585,105.289801472,None,1.5,1397147587,107.780364361,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
3,object,trial_images_objects\r_bottle_cleaner.png,n,n,bottle_cleaner,98,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,1397147589,109.296640816,1397147589,109.804087911,None,1.5,1397147592,112.295316654,,,,,,2014_Apr_10_1731,60.0262895181,semact_fmri_builder,002,dm,
