selectBlock,category,paths,semantic,action,image3,number,image1,image2,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406740680,432.0597374,568.1599295,1406740816,,,,,,,,,,,,,,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
3,animal,trial_images_animals\r_cricket_green.png,n,v,cricket_green,10,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,1406740816,568.1931052,1406740819,571.2036865,1406740820,571.7173476,1406740821,572.619275,3,0.901577363,2.5,1406740822,574.1857463,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
3,animal,trial_images_animals\r_butterfly.png,n,n,butterfly,6,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,1406740825,576.6847369,1406740825,577.2183023,1406740827,578.9669339,3,1.748356624,1.5,1406740828,579.683554,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
3,animal,trial_images_animals\r_bat.png,n,n,bat,2,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,1406740829,581.1830454,1406740830,581.6929105,,,None,,0.5,1406740832,584.1817568,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
3,object,trial_images_objects\r_pruning_shear.png,n,n,pruning_shear,45,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,1406740833,584.6817463,1406740833,585.206893,,,None,,3.5,1406740836,587.6804556,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
3,animal,trial_images_animals\r_deer_roe.png,n,n,deer_roe,11,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,1406740839,591.1960031,1406740840,591.7178287,,,None,,1.5,1406740842,594.1946605,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
3,object,trial_images_objects\r_iron.png,n,n,iron,39,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,1406740844,595.6943023,1406740844,596.2255323,,,None,,2.5,1406740847,598.6929841,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
3,object,trial_images_objects\r_broom.png,n,n,broom,33,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,1406740849,601.1922911,1406740850,601.7785329,,,None,,2.5,1406740852,604.1909431,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
3,object,trial_images_objects\r_pen.png,n,n,pen1,51,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,1406740855,606.6901975,1406740855,607.1997508,,,None,,1.5,1406740858,609.688893,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
3,object,trial_images_objects\r_rolling_pin.png,n,n,rolling_pin,56,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,1406740859,611.1884936,1406740860,611.7009829,,,None,,0.5,1406740862,614.1872488,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
