selectBlock,category,paths,semantic,action,image3,number,image1,image2,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407169798,152.4571664,278.5441908,1407169924,,,,,,,,,,,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,object,trial_images_objects\r_rasp.png,n,n,rasp,47,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,1407169924,278.593167,1407169927,281.6064714,1407169927,282.0984693,None,1.5,1407169930,284.5872269,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,object,trial_images_objects\r_pizza_slicer.png,n,n,pizza_slicer,57,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,1407169931,286.0867066,1407169932,286.5941689,None,2.5,1407169934,289.0855124,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,animal,trial_images_animals\r_springbok.png,f,n,springbok,28,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,1407169937,291.5847983,1407169937,292.1067162,None,3.5,1407169940,294.5835776,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,animal,trial_images_animals\r_cricket_green.png,n,v,cricket_green,10,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,1407169943,298.0825664,1407169944,298.5958671,None,2.5,1407169946,301.0813481,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,object,trial_images_objects\r_corkscrew.png,n,n,corkscrew,41,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,1407169949,303.5806578,1407169949,304.0885264,None,0.5,1407169952,306.5960796,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,animal,trial_images_animals\r_kangaroo_red.png,f,v,kangaroo_red,23,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,1407169952,307.0960829,1407169953,307.6078499,3,0.5,1407169955,310.0950741,1407169954,308.5120556,0.903907743,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,animal,trial_images_animals\r_bat.png,n,n,bat,2,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,1407169956,310.5948764,1407169956,311.1047363,3,2.5,1407169959,313.593746,1407169957,312.0607514,0.955753099,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,object,trial_images_objects\r_knife_table.png,n,n,knife_table,42,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,1407169961,316.0929769,1407169962,316.6015497,None,2.5,1407169964,319.0917625,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,object,trial_images_objects\r_coping_saw.png,n,n,coping_saw,40,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,1407169967,321.5910813,1407169967,322.0985384,None,1.5,1407169970,324.5898902,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,animal,trial_images_animals\r_deer_roe.png,n,n,deer_roe,11,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,1407169971,326.0895071,1407169972,326.5992541,None,3.5,1407169974,329.0883036,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,animal,trial_images_animals\r_goat.png,n,n,goat1,16,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,1407169978,332.5872885,1407169978,333.1006203,None,1.5,1407169981,335.5860319,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,animal,trial_images_animals\r_bug_common.png,n,n,bug_common,3,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,1407169982,337.085775,1407169983,337.5974551,None,3.5,1407169985,340.0844934,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,object,trial_images_objects\r_pruning_shear.png,n,n,pruning_shear,45,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,12,12,3,,,,,,,,,,,,,,,,,,,,,,,1407169989,343.5834759,1407169989,344.0920203,None,1.5,1407169992,346.5823651,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,object,trial_images_objects\r_pasta_spoon.png,n,n,pasta_spoon,50,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,1407169993,348.0819108,1407169994,348.5922198,None,2.5,1407169996,351.0806856,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
3,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,animal,trial_images_animals\r_cow_dairy.png,n,n,,9,cow_dairy,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,1407170002,356.6050264,1407170005,359.6292115,1407170005,360.1255989,None,0.5,,362.6100437,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,animal,trial_images_animals\r_duck_white.png,n,n,,13,duck_white,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,12,,,,,,,,,,,,,,,1407170008,363.1098979,1407170009,363.6211319,None,2.5,,366.1087238,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,animal,trial_images_animals\r_seal_grey.png,n,n,,26,seal_grey,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,1407170014,368.608031,1407170014,369.1252425,3,3.5,,371.6069368,1407170016,370.8904534,1.764897024,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,object,trial_images_objects\r_axe.png,n,v,,34,axe,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,11,,,,,,,,,,,,,,,1407170020,375.1057874,1407170021,375.6137067,None,2.5,,378.10456,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,object,trial_images_objects\r_paintbrush.png,n,v,,58,paintbrush,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,1407170026,380.6038564,1407170026,381.1139138,None,1.5,,383.6027339,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,animal,trial_images_animals\r_badger.png,n,n,,1,badger1,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,1407170030,385.1023469,1407170031,385.6203881,None,1.5,,388.1011286,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,object,trial_images_objects\r_maracas.png,f,v,,60,maracas,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,7,,,,,,,,,,,,,,,1407170035,389.6174309,1407170035,390.1278314,None,0.5,,392.6162455,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,animal,trial_images_animals\r_horse.png,n,n,,21,horse,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,10,,,,,,,,,,,,,,,1407170038,393.1162392,1407170039,393.6281565,None,2.5,,396.1149738,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,animal,trial_images_animals\r_butterfly.png,n,n,,6,butterfly,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,1407170044,398.6143176,1407170044,399.1275549,None,1.5,,401.6131631,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,animal,trial_images_animals\r_mole.png,n,n,,20,mole,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,13,,,,,,,,,,,,,,,1407170048,403.1127293,1407170049,403.6233121,None,3.5,,406.1115965,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,object,trial_images_objects\r_broom.png,n,n,,33,broom,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,0,,,,,,,,,,,,,,,1407170055,409.6105255,1407170055,410.1172993,None,0.5,,412.6092961,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,object,trial_images_objects\r_nail_file.png,n,n,,53,nail_file,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,8,,,,,,,,,,,,,,,1407170058,413.1092598,1407170059,413.6182393,None,1.5,,416.1080793,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,object,trial_images_objects\r_compass.png,n,n,,37,compass,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,3,,,,,,,,,,,,,,,1407170063,417.6077446,1407170063,418.1142521,None,0.5,,420.6065094,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,animal,trial_images_animals\r_harvest_mouse.png,n,n,,19,harvest_mouse,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,5,,,,,,,,,,,,,,,1407170066,421.1065266,1407170067,421.6176621,None,0.5,,424.1052914,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
1,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
2,object,trial_images_objects\r_eyelash_curlers.png,n,n,,43,,eyelash_curlers,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,1407170076,430.6369283,1407170076,431.1276742,None,0.5,,433.6188351,,,,1407170073,427.6261133,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
