selectBlock,category,paths,semantic,action,image1,number,image2,image3,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407436780,29.16370146,90.99197051,1407436842,,,,,,,,,,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,object,trial_images_objects\r_pliers.png,n,n,pliers,59,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407436842,91.01431134,94.03696488,1407436845,1407436846,94.53430131,None,1.5,97.0189693,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,object,trial_images_objects\r_pepper_mill.png,n,n,peppemill,35,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.51844969,1407436850,1407436850,99.02594115,3,2.5,101.5172272,1407436851,100.2342977,1.20805231,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,object,trial_images_objects\r_pizza_slicer.png,n,n,pizza_slicer,57,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0163506,1407436855,1407436856,104.5229471,None,0.5,107.0150164,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,object,trial_images_objects\r_compass.png,n,n,compass,37,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5150154,1407436859,1407436859,108.020908,None,0.5,110.5136797,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,animal,trial_images_animals\r_dragonfly.png,n,n,dragonfly,12,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0136826,1407436862,1407436863,111.5250811,None,0.5,114.0124128,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,object,trial_images_objects\r_toothbrush.png,n,n,toothbrush,38,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.512284,1407436866,1407436866,115.0246801,None,1.5,117.5109825,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,animal,trial_images_animals\r_cow_dairy.png,n,n,cow_dairy,9,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0106057,1407436870,1407436871,119.5248514,None,0.5,122.0259185,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,object,trial_images_objects\r_lipstick.png,n,n,lipstick,48,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.5259033,1407436874,1407436874,123.0327615,None,3.5,125.5245655,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,object,trial_images_objects\r_pitchfork.png,n,n,pitchfork,52,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0234628,1407436880,1407436881,129.5315069,None,2.5,132.0220619,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,animal,trial_images_animals\r_owl.png,n,n,owl2,25,,,,,,,,0,0,0,0,0,0,0,0,0,9,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.5213027,1407436886,1407436886,135.0321056,None,1.5,137.5199912,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,animal,trial_images_animals\r_springbok.png,f,n,springbok,28,,,,,,,,0,0,0,0,0,0,0,0,0,10,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0196044,1407436890,1407436891,139.5312585,None,1.5,142.0182515,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
1,animal,trial_images_animals\r_badger.png,n,n,badger1,1,,,,,,,,0,0,0,0,0,0,0,0,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.5178176,1407436895,1407436895,144.0312016,None,1.5,146.5164847,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
