selectBlock,category,paths,semantic,action,number,image4,image1,image3,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409136692,15.9691768283,57.6137094566,1409136733,,,,,,,,,,,,,,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
4,animal,trial_images_animals\r_robin.png,n,n,62,robin,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,1409136733,57.6496267613,1409136736,60.6569849868,1409136737,61.1554883193,1409136738,61.9891141847,4,0.833279052661,1.5,1409136739,63.6388094634,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
4,object,trial_images_objects\r_screwdriver.png,n,n,115,screwdriver,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,12,,,,,,,,,,,,,,,,,,,1409136741,65.1381485874,1409136741,65.6469361705,,,None,,1.5,1409136744,68.1368506807,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
4,object,trial_images_objects\r_computer_mouse.png,n,n,99,computer_mouse,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,13,,,,,,,,,,,,,,,,,,,1409136745,69.6364542154,1409136746,70.1445572282,,,None,,2.5,1409136748,72.6351137495,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
4,object,trial_images_objects\r_cakeslicer.png,n,n,92,cakeslicer,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,,,,,1409136751,75.134350852,1409136751,75.6415251068,1409136753,77.0833283278,4,1.44153126431,0.5,1409136754,78.1331465153,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
4,object,trial_images_objects\r_bottle_cleaner.png,n,n,98,bottle_cleaner,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,1409136754,78.6496641893,1409136755,79.1561261046,1409136756,80.1488210027,4,0.992337520944,1.5,1409136757,81.6484453643,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
4,object,trial_images_objects\r_potatomasher.png,n,v,118,potatomasher,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,,,,,1409136759,83.1479719302,1409136759,83.6553888634,1409136760,84.563768119,4,0.908110015403,2.5,1409136762,86.1467223177,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
4,object,trial_images_objects\r_pencil.png,n,n,111,pencil,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,1409136764,88.6458552858,1409136765,89.1544041144,,,None,,1.5,1409136767,91.6445326283,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
4,animal,trial_images_animals\r_penguin.png,f,n,84,penguin,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,10,,,,,,,,,,,,,,,,,,,1409136769,93.1441343521,1409136769,93.6525663691,,,None,,0.5,1409136772,96.1428439913,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
4,animal,trial_images_animals\r_hare.png,n,v,78,hare,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,1409136772,96.6428365963,1409136773,97.1518327499,1409136774,98.3585582007,4,1.20645621059,1.5,1409136775,99.6415510649,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
