selectBlock,category,paths,semantic,action,image1,number,image3,image4,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,startJitAbstime,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411118889,95.42946174,138.0424634,1411118932,,,,,,,,,,,,,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,object,trial_images_objects\r_wok.png,f,n,wok,44,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411118932,138.0763288,141.0971247,1411118935,1411118935,141.592358,1411118936,142.4791495,3,0.886370771,0.5,144.078756,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,object,trial_images_objects\r_pizza_slicer.png,n,n,pizza_slicer,57,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.5784919,1411118938,1411118939,145.0855589,1411118940,146.1943958,3,1.108569114,0.5,147.5773267,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,animal,trial_images_animals\r_rabbit.png,n,v,rabbit,18,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0772268,1411118942,1411118942,148.5866966,,,None,,1.5,151.0759633,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,animal,trial_images_animals\r_sheep.png,n,n,sheep1,27,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.5755727,1411118946,1411118947,153.0868547,,,None,,1.5,155.5743177,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,object,trial_images_objects\r_staple_remover.png,n,n,staple_remover,54,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0739666,1411118951,1411118951,157.5833446,,,None,,0.5,160.0726862,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,animal,trial_images_animals\r_cat_wild.png,n,n,cat_wild,8,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.5726608,1411118954,1411118955,161.0822432,1411118956,162.3885492,3,1.305994806,3.5,163.5881421,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,object,trial_images_objects\r_cleaningbrush.png,n,n,cleaningbrush,46,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.0870036,1411118961,1411118961,167.5964277,,,None,,1.5,170.0856975,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,animal,trial_images_animals\r_blackbird.png,n,n,blackbird,4,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.585328,1411118965,1411118966,172.0975648,,,None,,2.5,174.5840723,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,object,trial_images_objects\r_kettle.png,n,n,kettle,49,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0833404,1411118971,1411118971,177.5926625,,,None,,1.5,180.0820648,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,object,trial_images_objects\r_spanner.png,n,n,spanner,55,,,,,,,,0,0,0,0,0,0,0,0,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.5816881,1411118975,1411118976,182.0893694,,,None,,1.5,184.5804451,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,animal,trial_images_animals\r_dragonfly.png,n,n,dragonfly,12,,,,,,,,0,0,0,0,0,0,0,0,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.0800563,1411118980,1411118980,186.5921168,1411118982,188.578986,3,1.986587253,3.5,189.0788559,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,object,trial_images_objects\r_lipstick.png,n,n,lipstick,48,,,,,,,,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.5777161,1411118986,1411118987,193.0852954,,,None,,1.5,195.5764191,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,object,trial_images_objects\r_colander.png,n,n,colander,36,,,,,,,,0,0,0,0,0,0,0,0,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.076062,1411118991,1411118991,197.5870721,1411118993,199.0584717,3,1.471131626,2.5,200.0748685,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,animal,trial_images_animals\r_bug_common.png,n,n,bug_common,3,,,,,,,,0,0,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.5741743,1411118996,1411118997,203.0854273,1411118998,204.3565685,3,1.270881578,1.5,205.572873,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
1,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
3,animal,trial_images_animals\r_bulldog_english.png,n,n,,5,bulldog_english,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,13,,,,,,,,,,,,,1411119004,210.1128616,213.1209133,1411119007,1411119007,213.6173772,1411119008,214.9527442,3,1.335036439,0.5,216.1026557,1411119010,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
3,animal,trial_images_animals\r_cricket_green.png,n,v,,10,cricket_green,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,10,,,,,,,,,,,,,,,216.6023662,1411119010,1411119011,217.1139066,1411119012,218.1348733,3,1.020699566,1.5,219.6011936,1411119013,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
3,animal,trial_images_animals\r_squirrel_red.png,n,v,,22,squirrel_red,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,11,,,,,,,,,,,,,,,221.1174264,1411119015,1411119015,221.6291253,,,None,,2.5,224.1161442,1411119018,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
3,object,trial_images_objects\r_maracas.png,f,v,,60,maracas,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,4,,,,,,,,,,,,,,,226.6154952,1411119020,1411119021,227.1263658,1411119021,227.9145687,3,0.787929132,1.5,229.6142224,1411119023,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
3,animal,trial_images_animals\r_seal_grey.png,n,n,,26,seal_grey,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,0,,,,,,,,,,,,,,,231.1137817,1411119025,1411119025,231.6244075,,,None,,0.5,234.112507,1411119028,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
3,animal,trial_images_animals\r_camel.png,f,n,,7,camel,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,9,,,,,,,,,,,,,,,234.6124883,1411119028,1411119029,235.1237549,1411119029,235.811767,3,0.687757322,3.5,237.61136,1411119031,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
3,object,trial_images_objects\r_pliers.png,n,n,,59,pliers,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,241.1101547,1411119035,1411119035,241.6217108,,,None,,0.5,244.1088682,1411119038,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
3,object,trial_images_objects\r_broom.png,n,n,,33,broom,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,7,7,12,,,,,,,,,,,,,,,244.6088423,1411119038,1411119039,245.1150337,,,None,,1.5,247.6076077,1411119041,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
