selectBlock,category,paths,semantic,action,number,image4,image1,image2,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411119269,9.03715399605,52.465522456,1411119313,,,,,,,,,,,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,object,trial_images_objects\r_shisha.png,f,n,120,shisha,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,1411119313,52.5017011936,1411119316,55.5095002427,1411119316,56.0055792872,None,1.5,1411119319,58.491211204,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,animal,trial_images_animals\r_dog_terrier.png,n,n,68,dog_terrier,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,13,,,,,,,,,,,,,,,,,,,1411119320,59.9908332951,1411119321,60.5002870538,None,1.5,1411119323,62.9893944041,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,animal,trial_images_animals\r_otter.png,n,n,86,otter,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,1411119325,64.4890210228,1411119325,65.0002001227,None,1.5,1411119328,67.4877478442,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,animal,trial_images_animals\r_goose_canada.png,n,n,77,goose_canada,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,,,,,1411119329,68.9874185323,1411119330,69.4966788089,3,1.5,1411119332,71.9862651858,1411119331,70.3200187868,0.823020023133,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,animal,trial_images_animals\r_vole.png,n,n,79,vole,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,1411119334,73.5024159606,1411119334,74.0144701066,None,0.5,1411119337,76.5011337266,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,object,trial_images_objects\r_scoop.png,n,n,110,scoop,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,12,,,,,,,,,,,,,,,,,,,1411119337,77.0011225584,1411119338,77.5094845468,3,1.5,1411119340,79.9999664953,1411119339,78.4503321493,0.94057594278,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,object,trial_images_objects\r_whisk.png,n,n,116,whisk,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,1411119342,81.4995381785,1411119342,82.0094797173,3,2.5,1411119345,84.4983301982,1411119343,82.782077883,0.772334052125,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,object,trial_images_objects\r_paint_roller.png,n,v,117,paint_roller,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,10,,,,,,,,,,,,,,,,,,,1411119347,86.9975122005,1411119348,87.5075258801,3,0.5,1411119350,89.996316294,1411119349,88.6132902582,1.10549875519,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,animal,trial_images_animals\r_hedgehog.png,n,n,80,hedgehog,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,,,,,1411119351,90.4962399275,1411119351,91.0075669309,None,2.5,1411119354,93.4949724839,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,object,trial_images_objects\r_handbell.png,n,v,91,handbell,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,,,,1411119356,95.9942429266,1411119357,96.5041515644,3,0.5,1411119359,98.993045209,1411119358,97.4434105612,0.938996694203,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,animal,trial_images_animals\r_highland_cow.png,n,n,69,highland_cow,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,10,10,11,,,,,,,,,,,,,,,,,,,1411119360,99.492952241,1411119360,100.005460059,None,2.5,1411119363,102.491691136,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,animal,trial_images_animals\r_bulldog_whiteenglish.png,n,n,65,bulldog_whiteenglish,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,11,11,9,,,,,,,,,,,,,,,,,,,1411119365,104.991010176,1411119366,105.503592549,None,2.5,1411119368,107.989690211,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,object,trial_images_objects\r_stapler.png,n,n,97,stapler,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,12,12,1,,,,,,,,,,,,,,,,,,,1411119371,110.489111274,1411119371,110.997876828,3,2.5,1411119374,113.487833568,1411119372,112.004786041,1.00664872103,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,object,trial_images_objects\r_teapot.png,n,n,109,teapot,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,13,13,3,,,,,,,,,,,,,,,,,,,1411119376,115.986992026,1411119377,116.497128255,3,2.5,1411119379,119.002441919,1411119378,117.752699392,1.25529585556,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
1,object,trial_images_objects\r_cakeslicer.png,n,n,92,,cakeslicer,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,1411119388,127.532715982,1411119388,128.023248942,3,3.5,,130.515007993,1411119389,128.99865619,0.97507220112,1411119385,124.505591361,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
1,object,trial_images_objects\r_screwdriver.png,n,n,115,,screwdriver,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,1411119394,134.013653316,1411119395,134.522984828,None,0.5,,137.012383458,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
1,animal,trial_images_animals\r_jerboas.png,f,v,82,,jerboas,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,10,,,,,,,,,,,,,,,1411119398,137.512357198,1411119398,138.023735816,None,1.5,,140.511123561,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
1,animal,trial_images_animals\r_moth.png,n,n,66,,moth,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,13,,,,,,,,,,,,,,,1411119402,142.010735389,1411119403,142.521208475,None,1.5,,145.009464625,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
1,object,trial_images_objects\r_tweezers.png,n,n,103,,tweezers,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,6,,,,,,,,,,,,,,,1411119407,146.509086414,1411119407,147.017870381,None,2.5,,149.507832856,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
1,animal,trial_images_animals\r_badger2.png,n,n,61,,badger2,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,1411119412,152.007106317,1411119413,152.520605089,None,0.5,,155.005834647,,,,,,2014_Sep_19_1034,60.0230818427,semact_fmri_builder,002,we018,
